gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ITGA2B	ENSG00000005961.19	71.6013735842876	-0.528601255876469	0.615674548243484	-0.858572532167466	0.390576397788631	0.701409370133162
ASB4	ENSG00000005981.13	74.1344052993239	-0.270069730640636	0.669342930760812	-0.403484847944327	0.686591579188698	0.878931399051108
GDE1	ENSG00000006007.12	3330.67098343358	-0.487670254151066	0.384412827896402	-1.26861077144515	0.204579920665397	0.525513486827668
REX1BD	ENSG00000006015.18	1317.21293796694	0.175450188003437	0.533397764492852	0.328929365068211	0.742209078093	0.904782882689106
CRLF1	ENSG00000006016.12	452.289402228076	-0.146047281775242	0.537836581137646	-0.271545831758633	0.785971254707331	0.922747354964697
OSBPL7	ENSG00000006025.13	869.226285378033	0.427094099822279	0.477306975175001	0.894799619606833	0.370894213722515	0.686545101247398
TMEM98	ENSG00000006042.12	803.038580481401	0.533407213261687	0.656586054988877	0.812394977335793	0.416565027346044	0.720366098864553
YBX2	ENSG00000006047.13	107.442466325364	-3.76266951139226	0.868987946663079	-4.32994442079541	1.49146980364766e-05	0.000606968801434138
MAP3K14	ENSG00000006062.18	3198.16596611852	-1.16803390597271	0.651588910823451	-1.79259328476998	0.0730379809561525	0.302150738829723
ABCC8	ENSG00000006071.16	140.897140527097	0.763323555866014	0.728121507756269	1.04834639237374	0.294479042532573	0.620137467307693
TMEM132A	ENSG00000006118.15	4460.71147227278	-0.792826580883309	0.424853189544987	-1.86611893330121	0.0620247276075178	0.275962414008053
AP2B1	ENSG00000006125.18	14138.8844475395	-0.207358174487743	0.40549109333932	-0.511375410937135	0.609088209417595	0.837604159904672
ZNF263	ENSG00000006194.11	1899.75509404576	0.0667924678715496	0.393282528716853	0.169833295390646	0.865141241351496	0.954948707117097
CX3CL1	ENSG00000006210.7	813.463646658251	0.748896895787732	0.840762629444919	0.890735231990702	0.373071228898065	0.688474065535625
SPATA20	ENSG00000006282.22	5106.83002470064	1.11163304291643	0.484028086555183	2.29662921180442	0.0216399307582823	0.145047410359617
CACNA1G	ENSG00000006283.18	179.703641658331	-0.679108296898997	0.796224334020351	-0.852910753769603	0.393708797705855	0.703639804061691
TNFRSF12A	ENSG00000006327.14	6543.53285885892	-0.861000381773992	0.474430942758498	-1.81480654859452	0.0695536436908332	0.293963712459493
DLX6	ENSG00000006377.11	105.773320627175	-1.41159361083177	1.21965291504072	-1.15737321120135	0.247119914001135	0.573540383858206
MAP3K9	ENSG00000006432.16	766.289550346539	-1.23156986702017	0.402103203746485	-3.06282032957051	0.00219261663392153	0.0312504215107818
RALA	ENSG00000006451.8	2840.00105498397	0.12033106205385	0.417925645864987	0.28792457042161	0.773404478483414	0.917685069457215
BAIAP2L1	ENSG00000006453.14	2012.95593923666	-0.762093360429953	0.462893708272609	-1.64636793892463	0.0996880297415609	0.361806900246477
